Mass (GeV)	Radion->HH at 13 TeV and LambdaR = 3 TeV
260	2288.28
280	2425.04
300	2144.34
320	1836.09
340	1565.17
360	1171.4
380	907.626
400	742.249
450	499.494
500	364.291
550	277.991
600	219.018
650	176.645
700	145.26
750	121.764
800	103.687
850	89.5339
900	78.4023
950	69.4161
1000	62.1259
1100	46.6504
1200	35.5771
1300	27.4156
1400	21.3154
1500	16.6986
1600	13.1662
1700	10.4374
1800	8.31145
1900	6.64305
2000	5.32539
2100	4.279
2200	3.44418
2300	2.77552
2400	2.23821
2500	1.80531
2600	1.45581
2700	1.17323
2800	0.944522
2900	0.75932
3000	0.609341
